iter	Passed	Remaining
893	5020	595
894	5030	590
895	5036	584
896	5042	579
897	5047	573
898	5054	567
899	5059	562
900	5064	556
901	5070	550
902	5075	545
903	5081	539
904	5086	533
905	5091	528
906	5097	522
907	5102	516
908	5107	511
909	5113	505
910	5118	500
911	5123	494
912	5129	488
913	5134	483
914	5140	477
915	5145	471
916	5150	466
917	5155	460
918	5160	454
919	5166	449
920	5171	443
921	5179	438
922	5184	432
923	5189	426
924	5195	421
925	5200	415
926	5206	409
927	5212	404
928	5217	398
929	5222	393
930	5228	387
931	5233	381
932	5238	376
933	5244	370
934	5249	364
935	5254	359
936	5260	353
937	5266	348
938	5271	342
939	5276	336
940	5282	331
941	5287	325
942	5292	319
943	5297	314
944	5302	308
945	5308	303
946	5313	297
947	5319	291
948	5324	286
949	5330	280
950	5336	274
951	5341	269
952	5346	263
953	5352	258
954	5357	252
955	5362	246
956	5368	241
957	5373	235
958	5378	229
959	5383	224
960	5388	218
961	5394	213
962	5399	207
963	5405	201
964	5411	196
965	5416	190
966	5421	185
967	5427	179
968	5432	173
969	5437	168
970	5442	162
971	5447	156
972	5453	151
973	5459	145
974	5464	140
975	5469	134
976	5475	128
977	5480	123
978	5486	117
979	5491	112
980	5499	106
981	5508	100
982	5517	95
983	5527	89
984	5535	84
985	5545	78
986	5553	73
987	5563	67
988	5573	61
989	5582	56
990	5591	50
991	5601	45
992	5611	39
993	5620	33
994	5629	28
995	5634	22
996	5640	16
997	5645	11
998	5651	5
999	5657	0
