iter	Passed	Remaining
845	1133	206
846	1134	204
847	1137	203
848	1140	202
849	1142	201
850	1144	200
851	1149	199
852	1150	198
853	1152	197
854	1154	195
855	1155	194
856	1157	193
857	1158	191
858	1160	190
859	1163	189
860	1165	188
861	1166	186
862	1168	185
863	1169	184
864	1171	182
865	1173	181
866	1175	180
867	1179	179
868	1181	178
869	1183	176
870	1185	175
871	1187	174
872	1189	173
873	1192	171
874	1196	170
875	1197	169
876	1199	168
877	1200	166
878	1202	165
879	1203	164
880	1205	162
881	1207	161
882	1210	160
883	1211	159
884	1213	157
885	1214	156
886	1216	154
887	1218	153
888	1220	152
889	1222	151
890	1226	150
891	1228	148
892	1230	147
893	1232	146
894	1234	144
895	1235	143
896	1238	142
897	1241	141
898	1242	139
899	1244	138
900	1246	136
901	1247	135
902	1249	134
903	1251	132
904	1253	131
905	1255	130
906	1257	128
907	1259	127
908	1260	126
909	1262	124
910	1263	123
911	1265	122
912	1266	120
913	1268	119
914	1271	118
915	1273	116
916	1275	115
917	1276	114
918	1278	112
919	1279	111
920	1281	109
921	1284	108
922	1287	107
923	1289	106
924	1290	104
925	1292	103
926	1294	101
927	1296	100
928	1299	99
929	1302	98
930	1304	96
931	1306	95
932	1307	93
933	1309	92
934	1311	91
935	1314	89
936	1316	88
937	1318	87
938	1320	85
939	1321	84
940	1322	82
941	1324	81
942	1325	80
943	1327	78
944	1328	77
945	1330	75
946	1333	74
947	1335	73
948	1336	71
949	1337	70
950	1339	68
951	1340	67
952	1341	66
953	1343	64
954	1344	63
955	1346	61
956	1349	60
957	1350	59
958	1352	57
959	1353	56
960	1354	54
961	1355	53
962	1357	52
963	1358	50
964	1359	49
965	1361	47
966	1364	46
967	1365	45
968	1366	43
969	1368	42
970	1369	40
971	1370	39
972	1371	38
973	1373	36
974	1374	35
975	1376	33
976	1378	32
977	1380	31
978	1381	29
979	1383	28
980	1384	26
981	1385	25
982	1386	23
983	1388	22
984	1389	21
985	1390	19
986	1392	18
987	1394	16
988	1397	15
989	1398	14
990	1399	12
991	1401	11
992	1402	9
993	1403	8
994	1405	7
995	1406	5
996	1408	4
997	1410	2
998	1412	1
999	1413	0
